Address 1 (self-reported),Postal Code,Street Number,Street Name,Primary Property Type - Self Selected,Largest Property Use Type,Primary Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Latitude,Longitude,GHG Emissions,Direct GHG Emissions,Indirect GHG Emissions,log_GHG_Emissions,age,age_group,Occupancy_group
3130 Brighton 7th Street,11235,3130,BRIGHTON 7 STREET,Multifamily Housing,Multifamily Housing,79000.0,1931,1,90,59.1,,3.2,0.5,4191.7,53.06,40.576936,-73.960496,282.4,201.8,80.5,5.64685932725658,93,>50,76-100%
3111 Brighton 7th St.,11235,3111,BRIGHTON 7 STREET,Multifamily Housing,Multifamily Housing,84420.0,1928,1,100,58.7,62.1,2.5,0.5,5315.0,62.96,40.577158,-73.960496,295.7,226.3,69.4,5.692721527296776,96,>50,76-100%
3109 Brighton 7th Street,11235,3109,BRIGHTON 7 STREET,Multifamily Housing,Multifamily Housing,84420.0,1928,1,100,73.1,77.2,3.6,0.7,3114.9,36.9,40.57718,-73.960499,369.3,272.4,96.9,5.914313487919567,96,>50,76-100%
3250 Coney Island Ave,11235,3250,CONEY ISLAND AVENUE,Multifamily Housing,Multifamily Housing,103716.0,1941,1,100,68.2,73.3,2.8,0.6,6220.8,59.98,40.576375,-73.959524,415.4,322.2,93.2,6.031646336740814,83,>50,76-100%
711 Brightwater Court,11235,711,BRIGHTWATER COURT,Multifamily Housing,Multifamily Housing,57960.0,1935,1,100,80.6,,4.2,0.7,2765.5,47.71,40.575862,-73.959931,287.3,208.9,78.4,5.664001604644357,89,>50,76-100%
3133 Brighton 7th Street,11235,3133,BRIGHTON 7 STREET,Multifamily Housing,Multifamily Housing,79683.0,1931,1,100,62.1,64.7,2.7,0.6,4326.0,54.29,40.5769,-73.960474,293.6,221.8,71.8,5.68561850402853,93,>50,76-100%
3161 Brighton 6th Street,11235,3161,BRIGHTON 6 STREET,Multifamily Housing,Multifamily Housing,120000.0,1980,1,100,77.5,81.4,4.7,0.7,8046.9,67.06,40.575657,-73.961105,572.5,389.2,183.2,6.351757936569426,44,41-50,76-100%
3033 Coney Island Avenue,11230,3033,CONEY ISLAND AVENUE,Multifamily Housing,Multifamily Housing,85381.0,1932,1,100,77.2,,4.4,0.6,6781.8,79.43,40.58189,-73.959924,406.6,282.1,124.5,6.01028630134857,92,>50,76-100%
3030 Brighton 12th Street,11235,3030,BRIGHTON 12 STREET,Multifamily Housing,Multifamily Housing,100800.0,1931,1,100,70.3,74.3,3.1,0.6,9182.2,91.09,40.579289,-73.957092,421.2,316.2,105.0,6.0454791354142206,93,>50,76-100%
125 Brighton 11th St.,11235,125,BRIGHTON 11 STREET,Multifamily Housing,Multifamily Housing,117600.0,1931,1,100,,,,,9166.5,66.81,40.579526,-73.958007,,,,,93,>50,76-100%
"10 Shore Boulevard,",10022,10,SHORE BOULEVARD,Multifamily Housing,Multifamily Housing,101086.0,1938,1,100,58.1,62.3,3.5,0.5,6846.2,64.61,,,377.7,258.8,118.9,5.9367443349077496,86,>50,76-100%
79 Brighton 11th St.,11235,79,BRIGHTON 11 STREET,Multifamily Housing,Multifamily Housing,50000.0,1963,1,100,,,,,,,40.580901,-73.957023,,,,,61,>50,76-100%
60 West End Avenue,11235,34,WEST END AVENUE,Other,Other,107000.0,1951,2,100,58.9,63.2,5.1,0.5,107.6,1.01,40.580954,-73.953675,407.8,236.4,171.4,6.013226038889495,73,>50,76-100%
2 West End Avenue,11235,2,WEST END AVENUE,Multifamily Housing,Multifamily Housing,155347.0,1953,1,100,60.5,63.8,3.3,0.5,7490.2,48.22,40.581684,-73.953833,571.7,402.5,169.2,6.350362019399812,71,>50,76-100%
3085-3097 Brighton 13th St.,11235,3085,BRIGHTON 13 STREET,Multifamily Housing,Multifamily Housing,66993.0,1926,1,100,79.1,82.1,5.5,0.6,,,40.578455,-73.956593,356.0,227.2,128.8,5.877735781779639,98,>50,76-100%
3033 Brighton 14th Street,11235,3033,BRIGHTON 14 STREET,Multifamily Housing,Multifamily Housing,63959.0,1932,1,100,63.8,66.9,2.9,0.6,3093.9,48.37,40.57883,-73.955278,243.1,181.7,61.4,5.497577977398914,92,>50,76-100%
150 Brighton 15th St.,11235,150,BRIGHTON 15 STREET,Multifamily Housing,Multifamily Housing,62500.0,1927,1,100,72.7,77.1,3.4,0.6,3998.6,63.98,40.578106,-73.954789,278.0,207.3,70.7,5.631211781821365,97,>50,76-100%
1151 Brighton Beach Ave,11235,1151,BRIGHTON BEACH AVE,Multifamily Housing,Multifamily Housing,68053.0,1937,1,100,97.2,103.2,5.2,0.9,,,40.577521,-73.955301,401.8,284.2,117.7,5.998440160844408,87,>50,76-100%
1159 Brighton Beach Avenue,11235,1159,BRIGHTON BEACH AVE,Multifamily Housing,Multifamily Housing,67666.0,1934,1,100,75.5,80.9,3.0,0.7,5727.8,84.65,40.577477,-73.955157,299.8,233.1,66.7,5.706445592075685,90,>50,76-100%
150 Corbin Place,11235,150,CORBIN PLACE,Multifamily Housing,Multifamily Housing,125000.0,1942,1,100,88.4,93.2,3.8,0.8,8896.6,71.17,40.578149,-73.95417,650.6,501.7,148.9,6.47943087672789,82,>50,76-100%
150 West End Ave,11235,150,WEST END AVENUE,Multifamily Housing,Multifamily Housing,81900.0,1951,1,100,10.3,10.3,3.0,0.0,5783.5,70.62,40.57822,-73.953155,78.4,0.0,78.4,4.37449836825309,73,>50,76-100%
161 Corbin Place,11235,156,WEST END AVENUE,Multifamily Housing,Multifamily Housing,129990.0,1978,1,100,88.8,93.4,4.7,0.8,7163.3,55.11,40.577836,-73.953079,701.4,506.9,194.6,6.554503042320907,46,41-50,76-100%
65 Oriental Boulevard,11235,160,WEST END AVENUE,Multifamily Housing,Multifamily Housing,155662.0,1963,1,100,110.3,118.9,4.9,0.9,7273.5,46.55,40.577646,-73.953044,1058.6,811.9,246.7,6.965646757397915,61,>50,76-100%
100 && 150 Oceana Drive West,11235,150,OCEANA DRIVE WEST,Multifamily Housing,Multifamily Housing,139328.0,2000,1,100,90.9,96.0,6.7,0.7,8015.8,57.53,40.575722,-73.958826,802.0,498.9,303.0,6.688354713946762,24,21-30,76-100%
60 Oceana Drive West,11235,60,OCEANA DRIVE WEST,Multifamily Housing,Multifamily Housing,92244.0,2000,1,100,84.7,88.6,6.2,0.7,4484.2,48.61,40.577017,-73.958786,493.2,310.6,182.6,6.2029402935545095,24,21-30,76-100%
40 Oceana Drive West,11235,40,OCEANA DRIVE WEST,Multifamily Housing,Multifamily Housing,92406.0,2000,1,100,78.4,83.4,5.2,0.7,7254.5,78.51,40.57733,-73.958807,449.5,298.5,151.0,6.110358077048392,24,21-30,76-100%
75 Oceana Drive East,11235,75,OCEANA DRIVE EAST,Multifamily Housing,Multifamily Housing,64753.0,2000,1,100,95.7,100.9,6.8,0.8,3317.3,51.23,40.576885,-73.95763,391.5,245.6,145.9,5.972536537222463,24,21-30,76-100%
70 Oceana Drive West,11235,70,OCEANA DRIVE WEST,Multifamily Housing,Multifamily Housing,68402.0,2000,1,100,83.7,88.2,6.3,0.7,4865.6,71.13,40.576844,-73.958588,364.8,222.8,141.9,5.9020867359567655,24,21-30,76-100%
45 Oceana Drive East,11235,45,OCEANA DRIVE,Multifamily Housing,Multifamily Housing,92455.0,2000,1,100,84.2,89.1,6.0,0.7,4510.6,48.79,,,490.1,310.6,179.5,6.196647773045199,24,21-30,76-100%
55 Oceana Drive East,11235,55,OCEANA DRIVE EAST,Multifamily Housing,Multifamily Housing,93642.0,2007,1,95,116.0,120.9,12.9,0.8,5692.4,60.79,40.577352,-73.957212,744.8,351.9,392.9,6.61445746774472,17,11-20,76-100%
50 Oceana Drive West,11235,50,OCEANA DRIVE WEST,Multifamily Housing,Multifamily Housing,112048.0,2013,1,95,65.6,69.2,8.4,0.4,,,40.577273,-73.958991,515.6,222.6,293.1,6.24726888066174,11,11-20,76-100%
105 && 155 Oceana Drive East,11235,105/1,OCEANA DRIVE EAST,Multifamily Housing,Multifamily Housing,157183.0,2000,1,100,79.6,85.5,3.1,0.8,4888.5,31.1,,,732.0,574.1,157.9,6.597145701886651,24,21-30,76-100%
65 Oceana Drive East,11235,65,OCEANA DRIVE EAST,Multifamily Housing,Multifamily Housing,93105.0,2000,1,100,77.3,81.6,5.3,0.6,4510.3,48.44,40.577075,-73.957421,452.0,288.9,163.2,6.115892125483034,24,21-30,76-100%
1120 Brighton Beach Avenue,11235,1120,BRIGHTON BEACH AVE,Multifamily Housing,Multifamily Housing,167846.0,1935,1,100,109.9,112.7,10.4,0.8,,,40.577768,-73.956175,1231.2,644.1,587.1,7.1165564685804705,89,>50,76-100%
1311 Brightwater Avenue,11235,1311,BRIGHTWATER AVENUE,Multifamily Housing,Multifamily Housing,288500.0,1959,1,100,71.0,74.5,4.8,0.6,,,40.575682,-73.955388,1277.7,834.7,443.1,7.153599215817122,65,>50,76-100%
1150 Brighton Beach Avenue,11235,1150,BRIGHTON BEACH AVE,Multifamily Housing,Multifamily Housing,167846.0,1935,1,100,76.3,80.8,3.4,0.7,9547.7,56.88,40.577631,-73.955718,762.3,571.3,191.0,6.637651138804425,89,>50,76-100%
