Address 1 (self-reported),Postal Code,Street Number,Street Name,Primary Property Type - Self Selected,Largest Property Use Type,Primary Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Latitude,Longitude,GHG Emissions,Direct GHG Emissions,Indirect GHG Emissions
5301 Snyder Avenue,11203,5301,SNYDER AVENUE,Multifamily Housing,Multifamily Housing,51360.0,1928,1,100,107.6,113.1,3.6,1.0,3952.2,76.95,40.650304,-73.92715,321.7,262.5,59.2
254 east 56th st,11203,254,EAST 56 STREET,Office,Office,46435.0,1920,1,100,99.1,104.2,4.4,0.9,,,40.650983,-73.924486,307.5,232.4,75.1
1261 Schenectady Ave ,11203,4710,AVENUE D,Multifamily Housing,Multifamily Housing,55000.0,1963,1,100,109.6,114.2,6.7,0.9,4968.2,90.33,40.641955,-73.932049,370.1,253.4,116.8
1020 EAST 48TH STREET,11203,1487,SCHENECTADY AVENUE,Distribution Center,Distribution Center,88000.0,1979,1,100,11.5,11.6,3.3,0.0,244.5,2.78,40.63652,-73.931676,357.9,0.8,357.1
388 Midwood Street,11225,388,MIDWOOD STREET,Multifamily Housing,Multifamily Housing,103613.0,1931,1,100,71.0,77.3,4.0,0.6,,,40.660257,-73.948203,472.6,331.9,140.7
601 Albany Avenue,11203,601,ALBANY AVENUE,Multifamily Housing,Multifamily Housing,120650.0,1955,1,100,105.1,110.3,4.6,0.9,14351.4,118.95,40.659789,-73.939693,748.4,573.8,174.6
646 Rutland Road,11203,646,RUTLAND ROAD,Multifamily Housing,Multifamily Housing,57712.0,1964,1,100,129.3,128.6,5.3,1.1,159.6,2.77,40.660099,-73.939178,439.5,338.5,101.1
647 Albany Avenue,11203,647,ALBANY AVENUE,Multifamily Housing,Multifamily Housing,85396.0,1955,1,100,97.2,96.3,5.5,0.8,5572.7,65.26,40.658414,-73.939565,507.0,352.0,155.0
738 Albany Avenue,11203,738,ALBANY AVENUE,Multifamily Housing,Multifamily Housing,102871.0,2014,1,100,66.4,68.8,6.8,0.5,4959.0,48.21,40.656191,-73.939588,457.6,236.2,221.4
690 Albany Ave,11203,690,ALBANY AVENUE,Multifamily Housing,Multifamily Housing,90279.0,2013,1,100,66.9,68.1,5.6,0.5,2940.6,32.57,40.657242,-73.939659,388.7,229.5,159.2
297 Lenox Road,11226,297,LENOX ROAD,Multifamily Housing,Multifamily Housing,69090.0,1941,1,100,100.5,108.2,3.5,1.0,3694.6,53.48,40.654203,-73.94926,401.8,324.9,76.9
40 East 43rd Street,11203,10,EAST 43 STREET,Multifamily Housing,Multifamily Housing,127764.0,1956,1,100,98.7,,5.1,0.8,6085.4,47.63,40.655827,-73.937614,765.4,559.1,206.3
300 Lenox Rd,11226,300,LENOX ROAD,Multifamily Housing,Multifamily Housing,79700.0,1928,1,100,78.7,83.6,3.2,0.7,3833.6,45.26,40.654189,-73.949213,397.5,309.7,87.8
310 Lenox Road,11226,310,LENOX ROAD,Multifamily Housing,Multifamily Housing,124318.0,1963,1,100,84.9,,4.7,0.7,9510.7,76.5,40.654205,-73.948975,647.3,461.1,186.2
330 Lenox Road,11226,330,LENOX ROAD,Multifamily Housing,Multifamily Housing,112518.0,1963,1,100,95.1,,3.7,0.9,6957.5,61.83,40.654235,-73.948503,634.6,497.1,137.5
350 Lenox Rd,11226,350,LENOX ROAD,Multifamily Housing,Multifamily Housing,115360.0,1965,1,100,64.4,69.3,2.9,0.6,4305.8,37.32,40.654265,-73.948031,442.8,329.5,113.3
315 Linden Blvd,11226,315,LINDEN BOULEVARD,Multifamily Housing,Multifamily Housing,95000.0,1929,1,100,82.3,87.7,4.7,0.7,,,40.652755,-73.94778,476.2,334.0,142.3
305 Linden Blvd ,11226,305,LINDEN BOULEVARD,Multifamily Housing,Multifamily Housing,95000.0,1929,1,100,86.7,92.8,4.7,0.8,,,40.652745,-73.948017,498.5,356.2,142.3
275 Linden Boulevard,11226,275,LINDEN BOULEVARD,Multifamily Housing,Multifamily Housing,135704.0,1930,1,100,68.7,74.6,3.6,0.6,,,40.652706,-73.948724,561.8,406.8,155.0
751 Troy Avenue,11203,751,TROY AVENUE,Multifamily Housing,Multifamily Housing,90944.0,1938,1,100,102.5,109.7,4.1,1.0,5130.3,56.41,40.654748,-73.936512,546.1,427.3,118.8
300 Linden Blvd,11226,300,LINDEN BOULEVARD,Multifamily Housing,Multifamily Housing,66168.0,1949,1,100,79.5,85.9,4.0,0.7,3492.1,52.78,40.65272,-73.948158,315.7,231.0,84.7
189 East 34th Street,11203,209,EAST 34 STREET,Multifamily Housing,Multifamily Housing,76095.0,1926,1,100,80.4,83.8,2.8,0.7,6942.0,91.23,40.651915,-73.945794,353.9,286.4,67.6
4411 Church Ave,11203,4411,CHURCH AVENUE,Multifamily Housing,Multifamily Housing,77993.0,1959,1,100,90.4,93.8,5.3,0.7,,,40.651487,-73.935964,439.1,304.6,134.4
"428 EAST 46 STREET,",11203,428,EAST 46 STREET,Multifamily Housing,Multifamily Housing,80155.0,1929,1,100,50.1,50.1,3.9,0.4,2390.0,29.82,40.651124,-73.934234,255.3,157.0,98.3
3400 Snyder Avenue,11203,3400,SNYDER AVENUE,Multifamily Housing,Multifamily Housing,114346.0,1956,1,100,83.1,87.8,4.3,0.7,7973.5,69.73,40.649161,-73.945368,573.2,413.2,160.0
282 East 35th St,11203,282,EAST 35 STREET,Multifamily Housing,Multifamily Housing,119000.0,1957,1,100,73.3,75.8,4.0,0.6,6042.0,50.77,40.648291,-73.944486,530.7,373.4,157.3
3500 Snyder Avenue,11203,3500,SNYDER AVENUE,Multifamily Housing,Multifamily Housing,121695.0,1957,1,100,90.7,94.2,9.5,0.6,6560.4,53.91,40.649219,-73.944431,742.9,376.0,367.0
285 E. 35th Street,11203,285,EAST 35 STREET,Multifamily Housing,Multifamily Housing,58231.0,1959,1,100,99.6,104.8,4.6,0.9,2829.1,48.58,40.64822,-73.944457,344.7,259.3,85.4
450 East 34 Street,11203,450,EAST 34 STREET,Multifamily Housing,Multifamily Housing,60435.0,1965,1,100,89.5,93.1,4.5,0.8,4762.8,78.81,40.645884,-73.945169,324.5,237.4,87.1
787 E 46th St ,11203,787,EAST 46 STREET,Multifamily Housing,Multifamily Housing,55000.0,1963,1,100,97.1,101.0,7.3,0.8,1334.2,24.26,40.642312,-73.933266,338.4,210.1,128.3
3102 - 3104 Newkirk Avenue,11210,3101,FOSTER AVENUE,Multifamily Housing,Multifamily Housing,137376.0,1950,1,100,82.5,87.6,6.5,0.7,,,40.638669,-73.947416,723.7,438.2,285.4
1304 New York Avenue,11203,1304,NEW YORK AVENUE,Multifamily Housing,Multifamily Housing,65602.0,1937,1,100,71.5,75.3,4.0,0.6,4042.1,61.62,40.640979,-73.945623,284.3,201.8,82.5
667 E 34th St,11203,667,EAST 34 STREET,Multifamily Housing,Multifamily Housing,92180.0,1940,1,100,103.2,108.8,4.3,0.9,3345.1,36.29,40.64012,-73.944525,560.4,431.8,128.5
585 East 32nd Street,11210,3205,FARRAGUT ROAD,Multifamily Housing,Multifamily Housing,61950.0,1962,1,100,82.8,86.3,5.2,0.7,4894.7,79.01,40.636407,-73.945933,316.4,213.6,102.8
"1405,1421,1425 Brooklyn Avenue",11210,1405,BROOKLYN AVENUE,Multifamily Housing,Multifamily Housing,118487.0,1950,1,100,107.0,112.2,6.7,0.9,,,40.638617,-73.942454,782.8,527.4,255.4
2069 Nostrand Ave ,11210,2063,NOSTRAND AVENUE,Multifamily Housing,Multifamily Housing,50871.0,1927,1,100,99.7,104.1,5.3,0.9,,,40.635134,-73.947883,306.2,220.3,86.0
2047 Nostrand Avenue,11210,2047,NOSTRAND AVENUE,Multifamily Housing,Multifamily Housing,55065.0,1931,1,100,70.3,73.8,3.5,0.6,7319.8,132.93,40.635422,-73.947916,231.8,170.3,61.5
163 Ocean Avenue,11225,163,OCEAN AVENUE,Multifamily Housing,Multifamily Housing,118674.0,1930,1,100,81.0,88.0,2.8,0.8,4368.1,36.81,40.659104,-73.962577,557.1,448.7,108.4
135 Ocean Ave,11225,135,OCEAN AVENUE,Multifamily Housing,Multifamily Housing,72684.0,1928,1,100,90.7,96.3,4.2,0.8,,,40.65959,-73.962656,393.6,291.6,102.1
125 Ocean Avenue,11225,125,OCEAN AVENUE,Multifamily Housing,Multifamily Housing,64069.0,1939,1,100,67.9,72.6,3.6,0.6,2514.2,39.24,40.659763,-73.962681,263.5,187.9,75.6
115 Ocean Ave,11225,115,OCEAN AVENUE,Multifamily Housing,Multifamily Housing,87000.0,1925,1,100,93.9,103.7,3.8,0.9,7301.0,83.92,40.659936,-73.96271,479.3,373.1,106.2
40 Lincoln Rd ,11225,40,LINCOLN ROAD,Multifamily Housing,Multifamily Housing,82448.0,1926,1,100,94.2,102.2,4.0,0.9,4620.7,56.04,40.660767,-73.961473,458.7,350.9,107.8
50 Lincoln Road,11225,50,LINCOLN ROAD,Multifamily Housing,Multifamily Housing,70316.0,1926,1,100,69.7,75.6,2.9,0.7,,,40.660819,-73.96121,287.7,223.9,63.8
552 Flatbush Avenue,11225,552,FLATBUSH AVENUE,Multifamily Housing,Multifamily Housing,62834.0,1926,1,100,85.0,90.1,9.2,0.6,,,40.660528,-73.960644,361.6,179.6,182.0
2100 Beekman Place,11225,2100,BEEKMAN PLACE,Multifamily Housing,Multifamily Housing,87319.0,1940,1,100,79.0,,3.0,0.7,6350.0,72.72,40.659999,-73.960998,403.9,316.7,87.1
580 Flatbush Ave,11225,580,FLATBUSH AVENUE,Multifamily Housing,Multifamily Housing,257076.0,1962,1,100,78.9,83.9,4.1,0.7,,,40.659576,-73.960577,1229.7,874.2,355.5
1 Chester Court,11225,620,FLATBUSH AVENUE,Multifamily Housing,Multifamily Housing,54000.0,1927,1,100,102.4,101.7,4.2,0.9,4354.0,80.63,40.658264,-73.960469,326.2,250.1,76.1
2121 Westbury Court,11225,2121,WESTBURY COURT,Multifamily Housing,Multifamily Housing,77964.0,1929,1,100,89.1,88.8,3.7,0.8,,,40.656751,-73.960272,441.1,339.5,101.6
2110 Westbury Ct,11225,2110,WESTBURY COURT,Multifamily Housing,Multifamily Housing,92007.0,1929,1,100,79.3,84.8,4.3,0.7,9157.3,95.08,40.65671,-73.960448,464.7,327.0,137.7
2100 Westbury Ct,11225,2100,WESTBURY COURT,Multifamily Housing,Multifamily Housing,82540.0,1928,1,100,78.9,85.1,3.2,0.7,6740.4,81.66,40.656672,-73.960712,382.1,297.4,84.6
225 Parkside Avenue,11226,225,PARKSIDE AVENUE,Multifamily Housing,Multifamily Housing,130030.0,1923,1,100,75.8,82.2,4.0,0.7,,,40.655486,-73.960305,642.5,460.2,182.3
305 Ocean Avenue,11225,305,OCEAN AVENUE,Multifamily Housing,Multifamily Housing,70436.0,1924,1,100,88.0,94.2,5.3,0.8,,,40.654246,-73.961762,380.6,260.8,119.8
239 Ocean Avenue,11225,239,OCEAN AVENUE,Multifamily Housing,Multifamily Housing,70790.0,1926,1,100,78.5,85.4,3.4,0.7,4210.8,59.48,40.656132,-73.962081,329.0,250.0,79.0
231 Ocean Ave,11225,231,OCEAN AVENUE,Multifamily Housing,Multifamily Housing,64165.0,1926,1,100,83.3,89.5,3.5,0.8,3325.1,51.82,40.656359,-73.962117,315.6,241.1,74.5
11 Midwood St,11225,11,MIDWOOD STREET,Multifamily Housing,Multifamily Housing,52249.0,1927,1,100,86.3,92.9,4.2,0.8,,,40.659554,-73.959766,285.4,210.1,75.3
10 Midwood Street,11225,10,MIDWOOD STREET,Multifamily Housing,Multifamily Housing,59145.0,1927,1,100,89.1,94.8,7.4,0.7,3169.9,53.59,40.659534,-73.959809,340.5,199.1,141.5
130 Fenimore St ,11225,130,FENIMORE STREET,Multifamily Housing,Multifamily Housing,80088.0,1941,1,100,83.8,88.8,3.5,0.8,,,40.658203,-73.958191,396.4,302.8,93.5
75 Hawthorne,11225,75,HAWTHORNE STREET,Multifamily Housing,Multifamily Housing,71795.0,1964,1,100,101.9,,,,,,40.657376,-73.957954,430.2,332.6,97.6
45 Hawthorne Street,11225,45,HAWTHORNE STREET,Multifamily Housing,Multifamily Housing,65984.0,1936,1,100,85.2,90.4,3.3,0.8,5143.2,77.95,40.657335,-73.958657,328.4,259.1,69.3
125 Hawthorne Street,11225,125,HAWTHORNE STREET,Multifamily Housing,Multifamily Housing,77638.0,1940,1,100,78.5,84.3,2.6,0.8,1628.0,20.97,40.65751,-73.955777,352.6,285.5,67.1
181 Hawthorne Street,11225,181,HAWTHORNE STREET,Multifamily Housing,Multifamily Housing,58800.0,1941,1,100,89.2,95.2,3.6,0.8,3207.6,54.55,40.657592,-73.954469,307.8,239.2,68.6
175 Hawthorne St,11225,175,HAWTHORNE STREET,Multifamily Housing,Multifamily Housing,81396.0,1955,1,100,76.3,83.8,3.4,0.7,,,40.657581,-73.954609,368.6,278.1,90.4
135 Hawthorne Street,11225,135,HAWTHORNE STREET,Multifamily Housing,Multifamily Housing,63576.0,1939,1,100,72.8,76.5,2.7,0.7,246.1,3.87,40.657524,-73.955543,269.5,213.9,55.6
271 Hawthorne St,11225,271,HAWTHORNE STREET,Multifamily Housing,Multifamily Housing,106862.0,1927,1,100,72.6,,,0.7,7308.5,68.39,40.657775,-73.951466,451.9,358.7,93.3
245 Hawthorne Street,11225,245,HAWTHORNE STREET,Multifamily Housing,Multifamily Housing,82636.0,1941,1,100,110.8,118.4,4.1,1.0,,,40.657739,-73.952079,536.7,429.2,107.5
105 Winthrop Street,11225,105,WINTHROP STREET,Multifamily Housing,Multifamily Housing,66538.0,1940,1,100,86.9,97.2,3.2,0.9,3073.7,46.2,40.656693,-73.95692,337.9,266.1,71.8
55 winthrop street,11225,55,WINTHROP STREET,Multifamily Housing,Multifamily Housing,75798.0,1931,1,100,82.7,87.7,5.5,0.7,5015.7,66.17,40.656622,-73.958066,389.2,257.4,131.8
150 Hawthorne Street,11219,150,HAWTHORNE STREET,Multifamily Housing,Multifamily Housing,84000.0,1963,1,100,86.8,91.2,4.0,0.8,6380.1,75.95,40.657529,-73.955215,435.2,323.1,112.1
170 Hawthorne Street,11225,170,HAWTHORNE STREET,Multifamily Housing,Multifamily Housing,101472.0,1941,1,100,81.4,85.9,3.3,0.7,6673.0,65.76,40.657556,-73.954746,485.7,375.7,110.0
80 Winthrop Street,11225,80,WINTHROP STREET,Multifamily Housing,Multifamily Housing,158614.0,1927,1,100,58.7,62.6,2.3,0.5,4557.2,28.73,40.656638,-73.957547,545.9,425.7,120.1
535 Parkside Avenue,11226,535,PARKSIDE AVENUE,Multifamily Housing,Multifamily Housing,102824.0,1931,1,100,71.7,78.4,3.2,0.7,,,40.655951,-73.955281,437.8,330.1,107.7
29 Woodruff Avenue,11226,45,WOODRUFF AVENUE,Multifamily Housing,Multifamily Housing,169423.0,2010,1,100,24.2,24.2,7.1,,,,40.653001,-73.964501,380.0,0.0,380.0
354 Ocean Ave,11226,354,OCEAN AVENUE,Multifamily Housing,Multifamily Housing,55200.0,1915,1,100,67.4,71.6,4.4,0.6,4518.2,81.85,40.654282,-73.961805,230.4,153.6,76.8
353 Ocean Ave,11226,353,OCEAN AVENUE,Multifamily Housing,Multifamily Housing,50567.0,1930,1,100,73.1,76.3,5.7,0.6,2451.4,48.48,40.65429,-73.961783,237.2,141.8,95.4
85 Clarkson Avenue,11226,85,CLARKSON AVENUE,Multifamily Housing,Multifamily Housing,76833.0,1931,1,100,115.3,120.5,4.7,1.0,,,40.654999,-73.957231,526.1,409.9,116.2
49 Clarkson Ave,11226,49,CLARKSON AVENUE,Multifamily Housing,Multifamily Housing,50200.0,1926,1,100,60.7,64.9,3.0,0.5,,,40.654947,-73.958071,182.3,134.2,48.2
530 Parkside Avenue,11226,530,PARKSIDE AVENUE,Multifamily Housing,Multifamily Housing,69086.0,1931,1,100,107.0,115.2,3.4,1.0,6507.3,94.19,40.655926,-73.955421,425.9,348.3,77.5
181 Clarkson Ave,11226,181,CLARKSON AVENUE,Multifamily Housing,Multifamily Housing,62100.0,1926,1,100,66.3,72.6,2.6,0.6,3781.4,60.89,40.655193,-73.954023,240.9,189.2,51.7
135 Clarkson Ave,11226,135,CLARKSON AVENUE,Multifamily Housing,Multifamily Housing,52750.0,1928,1,100,88.7,95.6,4.1,0.8,,,40.65513,-73.955101,277.9,209.5,68.3
25 Parade Place,11226,25,PARADE PLACE,Multifamily Housing,Multifamily Housing,81682.0,1935,1,100,67.0,73.2,3.3,0.6,,,40.652389,-73.965666,328.3,240.7,87.6
40 Woodruff Ave,11226,40,WOODRUFF AVENUE,Multifamily Housing,Multifamily Housing,76065.0,1940,1,100,63.7,67.5,3.3,0.6,,,40.652935,-73.964624,292.9,209.7,83.2
33 Crooke Ave,11226,33,CROOKE AVENUE,Multifamily Housing,Multifamily Housing,76670.0,1931,1,100,82.9,89.0,3.2,0.8,3950.6,51.53,40.652139,-73.964257,371.8,291.9,79.9
100 Woodruff Ave,11226,100,WOODRUFF AVENUE,Multifamily Housing,Multifamily Housing,108549.0,1941,1,100,71.8,77.0,3.3,0.7,4906.3,45.2,40.653675,-73.962746,465.6,344.9,120.7
55 Parade Place,11226,55,PARADE PLACE,Multifamily Housing,Multifamily Housing,98573.0,1927,1,100,114.5,122.6,3.2,1.1,,,40.651617,-73.965144,643.6,540.4,103.1
36 Crooke St,11226,36,CROOKE AVENUE,Multifamily Housing,Multifamily Housing,60179.0,1929,1,100,77.1,82.8,0.9,0.8,,,40.652141,-73.964203,254.0,235.9,18.1
66 Saint Pauls Place,11226,66,ST PAULS PLACE,Multifamily Housing,Multifamily Housing,67900.0,1928,1,100,67.0,,3.6,0.6,4326.7,63.72,40.652111,-73.963295,275.0,196.9,78.1
416 Ocean Avenue,11226,416,OCEAN AVENUE,Multifamily Housing,Multifamily Housing,137923.0,1924,1,100,46.1,45.7,3.5,0.3,3242.7,23.51,40.652714,-73.961521,405.2,248.1,157.2
1829 Caton Avenue,11226,1829,CATON AVENUE,Multifamily Housing,Multifamily Housing,73750.0,1959,1,100,93.0,97.6,5.0,0.8,,,40.651803,-73.962358,415.1,296.7,118.4
417 Ocean Ave,11226,417,OCEAN AVENUE,Multifamily Housing,Multifamily Housing,74169.0,1927,1,100,80.8,87.0,3.7,0.7,5007.7,67.52,40.652673,-73.961492,356.1,267.4,88.7
395 Ocean Ave,11226,395,OCEAN AVENUE,Multifamily Housing,Multifamily Housing,116873.0,1940,1,100,86.0,91.1,3.3,0.8,6922.3,59.23,40.65334,-73.961615,589.6,459.7,129.9
50 East 21st Street,11226,50,EAST 21 STREET,Multifamily Housing,Multifamily Housing,71282.0,1936,1,100,121.8,135.0,3.5,1.2,,,40.653307,-73.960573,495.7,414.9,80.8
75 EAST 21,11226,75,EAST 21 STREET,Multifamily Housing,Multifamily Housing,69930.0,1931,1,100,84.2,90.5,3.2,0.8,4846.2,69.3,40.652843,-73.960465,344.6,270.2,74.4
40 Clarkson Avenue,11226,32,CLARKSON AVENUE,Multifamily Housing,Multifamily Housing,97332.0,1938,1,100,79.6,79.0,3.0,0.7,3995.3,41.05,40.654906,-73.958489,454.2,354.6,99.6
80 Clarkson Avenue,11226,80,CLARKSON AVENUE,Multifamily Housing,Multifamily Housing,97137.0,1938,1,100,84.1,88.1,3.7,0.7,,,40.654974,-73.957368,501.9,383.5,118.3
75 Lenox Road,11226,75,LENOX ROAD,Multifamily Housing,Multifamily Housing,61750.0,1927,1,100,128.7,138.3,4.6,1.2,,,40.65372,-73.957221,461.8,369.0,92.8
55 Lenox Road,11212,55,LENOX ROAD,Multifamily Housing,Multifamily Housing,67764.0,1937,1,100,67.0,69.4,3.8,0.5,6030.8,89.0,40.653693,-73.957693,286.2,202.6,83.5
130 clarkson avenue,11226,118,CLARKSON AVENUE,Multifamily Housing,Multifamily Housing,112356.0,1962,1,100,72.0,75.8,5.1,0.6,8408.9,74.84,40.655086,-73.955519,507.3,325.2,182.1
140 Clarkson Ave,11226,140,CLARKSON AVENUE,Multifamily Housing,Multifamily Housing,76440.0,1931,1,100,68.6,73.3,3.3,0.6,3316.9,43.39,40.655119,-73.955004,313.7,231.1,82.5
176 Clarkson Avenue,11226,176,CLARKSON AVENUE,Multifamily Housing,Multifamily Housing,132840.0,1931,1,100,61.2,64.5,2.5,0.5,9256.8,69.68,40.655168,-73.95416,486.1,377.0,109.1
184 Clarkson Ave,11226,184,CLARKSON AVENUE,Multifamily Housing,Multifamily Housing,81900.0,1928,1,100,69.4,74.0,2.9,0.6,,,40.655182,-73.953977,336.1,256.3,79.8
181 Lenox Road,11226,181,LENOX ROAD,Multifamily Housing,Multifamily Housing,62841.0,1928,1,100,89.6,95.7,5.0,0.8,4287.8,68.23,40.65393,-73.953758,342.8,240.3,102.4
125 Lenox Road,11226,125,LENOX ROAD,Multifamily Housing,Multifamily Housing,66530.0,1937,1,100,71.9,77.2,3.6,0.6,4299.5,64.63,40.653848,-73.955095,298.3,217.9,80.3
115 Lenox Road,11226,115,LENOX ROAD,Multifamily Housing,Multifamily Housing,77618.0,1931,1,100,66.6,71.7,2.8,0.6,4921.4,63.41,40.653835,-73.955333,305.0,233.7,71.3
270 Clarkson Ave,11226,270,CLARKSON AVENUE,Multifamily Housing,Multifamily Housing,95092.0,1962,1,100,106.5,112.6,4.7,1.0,,,40.655356,-73.951064,598.8,456.9,141.9
261 Lenox Road,11226,261,LENOX ROAD,Multifamily Housing,Multifamily Housing,105136.0,1946,1,100,109.3,,,,11120.1,96.98,40.654099,-73.950946,741.3,584.7,156.6
245 Lenox Road,11226,245,LENOX ROAD,Multifamily Housing,Multifamily Housing,69816.0,1922,1,100,70.9,,3.4,0.6,7937.7,113.69,40.654075,-73.951332,300.0,222.1,77.8
223 Lenox Road,11226,223,LENOX ROAD,Multifamily Housing,Multifamily Housing,70788.0,1929,1,100,69.0,74.6,3.1,0.6,2341.2,33.07,40.654042,-73.951862,289.8,218.4,71.4
10 Stratford Road,11218,10,STRATFORD ROAD,Multifamily Housing,Multifamily Housing,98524.0,1965,1,100,16.0,15.4,4.5,,5638.0,57.22,40.648462,-73.969599,145.9,0.0,145.9
50 Westminster Road,11218,50,WESTMINSTER ROAD,Multifamily Housing,Multifamily Housing,62121.0,1960,1,100,13.2,13.1,3.8,,4558.0,73.37,40.648094,-73.968583,76.2,0.0,76.2
1600 Caton Avenue,11226,1600,CATON AVENUE,Multifamily Housing,Multifamily Housing,102198.0,1957,1,100,66.3,70.2,3.0,0.6,4945.4,48.39,40.650673,-73.965166,403.6,301.3,102.3
60 East 17 Street,11226,60,EAST 17 STREET,Multifamily Housing,Multifamily Housing,84600.0,1958,1,100,79.7,85.4,5.2,0.7,,,40.649633,-73.9641,417.7,278.9,138.9
50 E 18th St,11226,50,EAST 18 STREET,Multifamily Housing,Multifamily Housing,65370.0,1927,1,100,126.9,139.6,5.0,1.2,3570.4,54.62,40.650384,-73.963267,486.3,379.1,107.2
1834 Caton Ave,11226,1834,CATON AVENUE,Multifamily Housing,Multifamily Housing,98046.0,1926,1,100,63.3,62.8,4.6,0.5,,,40.651784,-73.962358,392.4,246.2,146.2
446 Ocean Avenue,11226,446,OCEAN AVENUE,Multifamily Housing,Multifamily Housing,50840.0,1914,1,100,125.5,135.3,4.0,1.2,,,40.65183,-73.961356,367.7,300.7,67.0
470 Ocean Avenue,11226,470,OCEAN AVENUE,Multifamily Housing,Multifamily Housing,121636.0,1949,1,100,86.4,90.6,3.9,0.7,,,40.651446,-73.961288,638.1,479.0,159.0
1 St Paul's Court,11226,1,ST PAULS COURT,Multifamily Housing,Multifamily Housing,91760.0,1931,1,100,67.9,71.8,3.8,0.6,,,40.650749,-73.962427,378.3,267.3,111.0
20 St. Paul's Court,11226,20,ST PAULS COURT,Multifamily Housing,Multifamily Housing,67272.0,1944,1,100,98.5,,4.0,0.9,7884.6,117.2,40.650826,-73.96194,394.1,307.7,86.4
500 Ocean Ave,11226,500,OCEAN AVENUE,Multifamily Housing,Multifamily Housing,87951.0,1925,1,100,85.8,90.5,3.6,0.7,8218.2,93.44,40.650634,-73.96113,454.0,350.2,103.8
100 East 21rst Street,11226,100,EAST 21 STREET,Multifamily Housing,Multifamily Housing,99035.0,1941,1,100,78.5,84.4,4.1,0.7,6986.4,70.54,40.651819,-73.960293,469.8,336.8,133.0
485 Ocean Avenue,11226,485,OCEAN AVENUE,Multifamily Housing,Multifamily Housing,134177.0,1931,1,100,68.1,73.1,3.0,0.6,8681.8,64.7,40.651161,-73.961212,542.5,408.3,134.1
475 Ocean Ave,11226,475,OCEAN AVENUE,Multifamily Housing,Multifamily Housing,58854.0,1931,1,100,80.7,87.3,3.5,0.8,3678.1,62.5,40.651325,-73.961241,281.5,213.4,68.1
2101 Church Ave.,11226,2101,CHURCH AVENUE,Retail Store,Retail Store,61000.0,1928,1,100,54.9,,,,,,40.650246,-73.959789,275.4,47.4,228.0
141 East 21st Street,11226,141,EAST 21 STREET,Multifamily Housing,Multifamily Housing,75043.0,1944,1,100,81.9,85.0,4.0,0.6,,,40.651111,-73.960138,379.6,279.5,100.0
131 East 21st Street,11226,131,EAST 21 STREET,Multifamily Housing,Multifamily Housing,75043.0,1944,1,100,79.3,84.8,4.1,0.6,,,40.651281,-73.960171,367.9,267.3,100.6
115 East 21st Street,11226,115,EAST 21 STREET,Multifamily Housing,Multifamily Housing,85303.0,1937,1,100,80.8,85.7,3.4,0.7,6320.9,74.1,40.651555,-73.960221,410.3,316.3,93.9
32 Lenox Road,11226,32,LENOX ROAD,Multifamily Housing,Multifamily Housing,68962.0,1929,1,100,64.7,68.2,2.7,0.5,3478.4,50.44,40.653641,-73.958255,269.9,211.2,58.7
70 Lenox Rd,11226,70,LENOX ROAD,Multifamily Housing,Multifamily Housing,77014.0,1935,1,100,63.8,68.9,3.0,0.6,2660.8,34.55,40.653695,-73.957362,293.4,217.7,75.7
80 Lenox Road,11226,80,LENOX ROAD,Multifamily Housing,Multifamily Housing,52572.0,1937,1,100,73.6,78.4,4.5,0.6,5746.1,109.3,40.653709,-73.957127,238.7,161.1,77.5
55 Linden Blvd.,11226,55,LINDEN BOULEVARD,Multifamily Housing,Multifamily Housing,128746.0,1937,1,100,65.9,72.3,3.4,0.6,6755.0,52.47,40.65226,-73.957236,512.5,367.3,145.2
45 Linden Blvd.,11226,45,LINDEN BOULEVARD,Multifamily Housing,Multifamily Housing,67489.0,1937,1,100,60.3,65.6,3.5,0.5,3609.0,53.48,40.652243,-73.957521,248.4,173.1,75.3
35 Linden Blvd,11226,35,LINDEN BOULEVARD,Multifamily Housing,Multifamily Housing,52654.0,1930,1,100,93.2,,4.4,0.8,3896.8,74.01,40.652227,-73.957802,297.4,222.6,74.7
77 Linden Boulevard,11226,77,LINDEN BOULEVARD,Multifamily Housing,Multifamily Housing,71710.0,1927,1,100,95.7,102.6,4.2,0.9,4532.7,63.21,40.65235,-73.95551,405.7,309.2,96.5
2101 Bedford Ave,11226,2101,BEDFORD AVENUE,Multifamily Housing,Multifamily Housing,51156.0,1941,1,100,87.5,,,,3947.5,77.17,40.653121,-73.956079,267.1,198.3,68.8
110 Lenox Road,11226,102,LENOX ROAD,Multifamily Housing,Multifamily Housing,60381.0,1931,1,100,85.5,91.7,3.3,0.8,5071.5,83.99,40.653799,-73.955664,302.5,236.4,66.1
116 Lenox Road,11226,116,LENOX ROAD,Multifamily Housing,Multifamily Housing,70612.0,1926,1,100,120.4,127.9,4.7,1.1,,,40.653818,-73.955329,497.4,390.6,106.8
